Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
IC0560	146.472656	-0.268221	0	0	0	1853	27.2	-22.1	0.59	-0.7	1.11	1.1	0.587	0.479	G	0.77	0.607	0.691	0.589	F	F	no imaging	not measured	no imaging						unknown					unknown
IC0598	153.202423	43.145546	0	0	0	2256	35.3	-22.6	0.06	-0.1	1.02	1.39	0.579	0.502	G	0.896	0.629	0.736	0.592	F	F	no imaging	not measured	no imaging						unknown					unknown
IC0676	168.165909	9.055736	0	0	0	1429	24.6	-22.27	0.11	-1.3	1.35	0.68	0.524	0.664	G	0.508	0.436	0.495	0.442	F	F	no imaging	not measured	no imaging						unknown					unknown
IC0719	175.077042	9.009861	0	0	0	1833	29.4	-22.7	0.22	-2	1.1	1.06	0.714	0.642	R	0.279	0.117	0.263	0.092	F	S	no imaging	not measured	no imaging						unknown					unknown
IC0782	185.404053	5.765672	0	0	0	2424	36.3	-22.02	0.09	2.7	1.35	0.76	0.404	0.263	G	0.677	0.608	0.571	0.529	F	F	no imaging	not measured	no imaging						unknown					unknown
IC1024	217.863419	3.009107	0	0	0	1479	24.2	-21.85	0.13	-2	1.05	1.18	0.679	0.752	G	0.916	0.647	0.724	0.599	F	F	no imaging	not measured	no imaging						unknown					unknown
IC3631	189.950195	12.973927	0	0	0	2822	42	-22.01	0.17	-1.3	1.13	1.11	0.56	0.524	G	0.218	0.173	0.25	0.196	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0448	18.818876	-1.626105	1	1	0	1908	29.5	-23.02	0.26	-2.5	1.05	1.22	0.643	0.656	G	0.38	0.377	0.327	0.291	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0474	20.027901	3.41527	0	1	0	2315	30.9	-23.91	0.15	-2	1.52	0.52	0.192	0.191	G	0.229	0.227	0.213	0.21	F	F	ACS (Krajnovic et al. 2013b)	intermediate	F606W	1.83	14.46	1.2	1.97	0.36	0.4	0.02	0.26	38.64	regular-rotators	core
NGC0502	20.731415	9.049169	0	0	0	2524	35.9	-23.05	0.17	-2	1.07	1.44	0.146	0.047	G	0.213	0.168	0.234	0.172	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0509	20.850327	9.433469	0	0	0	2261	32.3	-21.89	0.2	-1.3	1.37	0.56	0.679	0.661	G	0.451	0.43	0.465	0.444	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0516	21.033607	9.551668	0	0	0	2437	34.7	-22.21	0.29	-1.5	1.16	0.95	0.699	0.701	G	0.786	0.624	0.655	0.579	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0524	21.198778	9.538793	1	10	0	2403	23.3	-24.71	0.36	-1.2	1.64	0.5	0.034	0.034	G	0.344	0.344	0.325	0.325	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	core (flat)	F555W	0.37	17	5	1.47	0.24	0.24	0.02	0.28	32.12	regular-rotators	core-less
NGC0525	21.220442	9.70324	0	0	0	2139	30.7	-21.86	0.38	-2	1.06	1.41	0.28	0.173	G	0.404	0.285	0.418	0.274	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0661	26.060976	28.705988	0	1	0	3815	30.6	-23.19	0.3	-4.4	1.12	1.33	0.306	0.307	G	0.134	0.094	0.139	0.07	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC0680	27.447035	21.970827	0	1	0	2928	37.5	-24.17	0.34	-4	1.16	1.19	0.189	0.185	G	0.413	0.361	0.406	0.36	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC0770	29.80685	18.954695	0	0	0	2543	36.7	-22.57	0.31	-4.2	0.94	2.01	0.276	0.299	G	0.184	0.117	0.195	0.114	F	S	no imaging	not measured	no imaging						unknown					unknown
NGC0821	32.088123	10.99487	1	4	0	1718	23.4	-23.99	0.48	-4.8	1.6	0.49	0.392	0.392	G	0.288	0.288	0.273	0.273	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.48	15.69	0.4	1.71	0.1	0.51		0.03	3.42	regular-rotators	core
NGC0936	36.90609	-1.15628	1	4	0	1429	22.4	-24.85	0.15	-1.2	1.72	1	0.223	0.223	G	0.677	0.448	0.657	0.43	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	33.64	24	0.7	5.88	0.43	0.52	0.04	0.07	7.39	regular-rotators	core
NGC1023	40.100052	39.063251	1	8	0	602	11.1	-24.01	0.26	-2.7	1.68	0.47	0.363	0.363	G	0.372	0.372	0.391	0.391	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	1.23	15.71	7.2	1.15	0.74	0.74		0.04	2.15	regular-rotators	core
NGC1121	42.663387	-1.73404	0	0	0	2558	35.3	-22.7	0.29	-1.8	0.87	2.14	0.559	0.45	G	0.828	0.587	0.711	0.548	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC1222	47.236446	-2.955212	0	0	0	2422	33.3	-22.71	0.26	-3	1.1	1.12	0.28	0.28	G	0.153	0.138	0.147	0.132	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC1248	48.202328	-5.224674	0	0	0	2217	30.4	-22.9	0.27	-2	1.2	1.1	0.227	0.138	G	0.521	0.337	0.535	0.353	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC1266	49.00312	-2.42737	0	0	0	2170	29.9	-22.93	0.43	-2.1	1.31	0.88	0.193	0.207	G	0.775	0.589	0.638	0.517	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC1289	49.707592	-1.973354	0	0	0	2792	38.4	-23.46	0.37	-2.1	1.26	0.9	0.393	0.38	G	0.172	0.154	0.178	0.154	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC1665	72.071098	-5.427655	0	0	0	2745	37.5	-23.63	0.26	-1.8	1.5	0.65	0.491	0.44	G	0.669	0.478	0.658	0.511	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2481	119.307182	23.767693	0	0	0	2157	32	-23.38	0.28	0.4	1.02	1.26	0.684	0.467	G	0.686	0.399	0.678	0.428	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2549	124.743111	57.803108	1	1	0	1051	12.3	-22.43	0.28	-2	1.28	0.88	0.587	0.488	G	0.623	0.563	0.572	0.523	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	3.7	17.57	1.8	1.71	0.67	0.67		-0.1	-5.96	regular-rotators	core
NGC2577	125.681137	22.55304	0	0	0	2062	30.8	-23.41	0.23	-3	1.15	1.13	0.471	0.421	G	0.874	0.733	0.696	0.623	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2592	126.783669	25.970339	1	1	0	1979	25	-22.88	0.25	-4.8	1.09	1.39	0.208	0.21	G	0.529	0.422	0.549	0.431	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F702W	35.43	24	0.36	6.62	-0.38	0.38	0.03	0.16	19.64	regular-rotators	core
NGC2594	126.821609	25.878935	0	0	0	2362	35.1	-22.36	0.24	0	0.82	2.92	0.403	0.433	G	0.455	0.45	0.404	0.444	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2679	132.887192	30.865419	0	0	0	2027	31.1	-22.81	0.14	-2	1.35	0.46	0.368	0.368	G	0.185	0.185	0.193	0.193	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2685	133.894791	58.734409	0	0	0	875	16.7	-22.78	0.27	-1	1.41	0.9	0.612	0.592	G	0.84	0.734	0.691	0.632	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F555W	27.97	24	0.96	7.29	0.44	0.47	0.04	0.2	16.43	regular-rotators	core
NGC2695	133.612778	-3.067101	1	3	0	1833	31.5	-23.64	0.08	-2.1	1.21	1.04	0.293	0.225	G	0.582	0.422	0.575	0.406	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2698	133.902222	-3.183882	0	0	0	1900	27.1	-23.32	0.08	-1	1.1	1.27	0.516	0.267	S	0.569	0.331	0.593	0.345	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2699	133.953415	-3.127507	1	3	0	1868	26.2	-22.72	0.08	-5	1.06	1.39	0.143	0.202	G	0.45	0.393	0.444	0.398	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F702W	0.63	15.65	5	1.21	0.61	0.61	0.06	-0.1	-12.7	regular-rotators	core
NGC2764	137.072983	21.443447	0	0	0	2706	39.6	-23.19	0.17	-2	1.09	1.25	0.614	0.662	G	0.783	0.568	0.658	0.535	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2768	137.906265	60.037209	1	5	0	1353	21.8	-24.71	0.2	-4.4	1.8	0.35	0.472	0.472	G	0.236	0.236	0.253	0.253	F	F	ACS (Krajnovic et al. 2013b)	intermediate	F555W	0.37	15.82	5	1.79	0.37	0.37	0.02	0.23	24.71	regular-rotators	core
NGC2778	138.101639	35.027424	1	1	0	2025	22.3	-22.23	0.09	-4.8	1.2	1.05	0.224	0.201	G	0.574	0.419	0.572	0.435	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.35	16.06	0.4	1.75	0.33	0.83		0.04	4.32	regular-rotators	core
NGC2824	139.759277	26.269999	0	0	0	2758	40.7	-22.93	0.14	-2	0.86	2.49	0.162	0.107	G	0.534	0.407	0.492	0.37	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2852	140.810684	40.163879	0	0	0	1781	28.5	-22.18	0.06	1	0.85	2.6	0.135	0.043	G	0.32	0.186	0.368	0.201	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC2859	141.077286	34.513378	0	0	0	1690	27	-24.13	0.09	-1.2	1.43	0.6	0.089	0.057	G	0.41	0.408	0.359	0.361	F	F	ACS (Krajnovic et al. 2013b)	power-law	F814W	0.11	14	0.2	4.14	-2.54	0.76	0.02	0.04	5.85	regular-rotators	core
NGC2880	142.394241	62.49062	1	1	0	1554	21.3	-22.98	0.14	-2.7	1.32	0.81	0.282	0.208	G	0.627	0.508	0.581	0.482	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	9.91	21.49	1.44	4.42	0.75	0.75	0.02	-0.1	-10.33	regular-rotators	core
NGC2950	145.646317	58.851219	1	1	0	1322	14.5	-22.93	0.07	-2	1.19	1.11	0.362	0.237	G	0.488	0.472	0.436	0.428	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	2.43	16.77	2.4	1.81	0.82	0.82		-0.1	-7.03	regular-rotators	core
NGC2962	145.224609	5.16582	0	3	0	1967	34	-24.01	0.25	-1.1	1.39	0.64	0.484	0.319	G	0.376	0.298	0.43	0.329	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F814W	1.85	17.62	2.36	1.88	0.8	0.8	0.03	-0.1	-16.48	regular-rotators	core
NGC2974	145.638611	-3.699116	1	3	0	1887	20.9	-23.62	0.23	-4.2	1.58	0.53	0.407	0.403	R	0.813	0.811	0.663	0.664	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.31	15.17	25.1	1.05	0.62	0.62		0.02	2.03	regular-rotators	core
NGC3032	148.034119	29.236279	1	2	0	1562	21.4	-22.01	0.07	-1.9	1.12	1.32	0.102	0.176	G	0.267	0.173	0.344	0.201	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC3073	150.216843	55.618935	1	1	0	1173	32.8	-21.78	0.05	-2.8	1.13	1.24	0.124	0.162	G	0.136	0.092	0.145	0.086	F	S	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC3098	150.569458	24.711092	0	0	0	1397	23	-22.72	0.16	-1.5	1.12	1.2	0.553	0.44	S	0.744	0.446	0.635	0.422	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3156	153.171692	3.12932	1	3	0	1338	21.8	-22.15	0.15	-2.5	1.24	0.96	0.478	0.469	G	0.771	0.611	0.648	0.559	F	F	ACS (Krajnovic et al. 2013b)	power-law	F475W	1.07	18.1	4.29	0.86	1.78	1.78	0.08	-0.1	-10.57	regular-rotators	core
NGC3182	154.887558	58.205818	0	0	0	2118	34	-23.19	0.05	0.4	1.32	0.79	0.166	0.195	G	0.372	0.405	0.306	0.369	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3193	154.603683	21.893978	1	3	0	1381	33.1	-24.63	0.11	-4.8	1.42	0.57	0.129	0.143	G	0.208	0.208	0.195	0.197	F	F	Rest et al. (2001)	core (flat)	WFPC2: see Source	0.81	16.07	0.6	1.89	0.01	0.28		0.14	22.87	regular-rotators	core-less
NGC3226	155.862549	19.898439	1	3	0	1315	22.9	-23.24	0.1	-4.8	1.49	0.53	0.168	0.159	G	0.273	0.275	0.251	0.257	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F814W	0.15	14	0.32	2.95	-1.02	0.83	0.04	0.03	3.75	regular-rotators	core
NGC3230	155.93309	12.567883	0	0	0	2795	40.8	-24.18	0.16	-1.8	1.26	0.81	0.55	0.36	G	0.617	0.393	0.609	0.403	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3245	156.826523	28.507435	1	1	0	1326	20.3	-23.69	0.11	-2.1	1.4	0.62	0.442	0.444	G	0.624	0.579	0.626	0.592	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F702W	35.18	24	0.92	7.09	0.71	0.74	0.04	-0.1	-9.84	regular-rotators	core
NGC3248	156.93927	22.84717	0	0	0	1481	24.6	-22.43	0.09	-2	1.2	1.09	0.374	0.29	G	0.514	0.38	0.511	0.35	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3301	159.233459	21.882166	0	0	0	1339	22.8	-23.28	0.1	-0.4	1.3	0.81	0.507	0.324	G	0.676	0.55	0.603	0.461	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3377	161.926666	13.98564	1	10	0	690	10.9	-22.76	0.15	-4.8	1.55	0.42	0.503	0.503	G	0.564	0.564	0.522	0.522	F	F	ACS (Krajnovic et al. 2013b)	power-law	F475W	0.17	14	0.92	1.37	0.25	0.68	0.03	0.04	2.32	regular-rotators	core
NGC3379	161.956665	12.58163	1	15	0	918	10.3	-23.8	0.11	-4.8	1.6	0.5	0.104	0.104	G	0.152	0.152	0.157	0.157	F	F	ACS (Krajnovic et al. 2013b)	core (flat)	F475W	2.41	16.84	1.34	1.72	0.15	0.17	0.01	0.95	47.4	regular-rotators	core-less
NGC3384	162.070404	12.6293	1	10	0	733	11.3	-23.52	0.12	-2.7	1.51	0.54	0.065	0.058	G	0.456	0.449	0.407	0.397	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	3.15	16.44	15.3	1.81	0.71	0.71		0.04	2.19	regular-rotators	core
NGC3400	162.68959	28.468929	0	0	0	1441	24.7	-21.82	0.08	0.7	1.23	1.02	0.437	0.437	G	0.764	0.48	0.664	0.47	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3412	162.722137	13.412142	1	5	0	860	11	-22.55	0.12	-2	1.49	0.51	0.441	0.441	G	0.375	0.371	0.406	0.403	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	3.39	18.18	1.24	2.76	0.64	0.67	0.02	-0.1	-5.33	regular-rotators	core
NGC3414	162.817673	27.974968	1	1	0	1470	24.5	-23.98	0.11	-2	1.38	0.67	0.194	0.193	G	0.106	0.107	0.073	0.07	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	0.23	15.79	5	1.15	0.64	0.64	0.03	-0.1	-11.88	KDCs (and counter-rotating cores)	core
NGC3457	163.702591	17.621157	1	1	0	1148	20.1	-21.89	0.13	-5	1.13	1.28	0.033	0.032	S	0.109	0.091	0.104	0.086	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3458	164.006042	57.11697	0	0	0	1877	30.9	-23.12	0.04	-2	1.06	1.61	0.231	0.114	G	0.438	0.245	0.461	0.25	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	1.73	18.06	1.4	2.4	0.56	0.59	0.02	-0.1	-14.98	regular-rotators	core
NGC3489	165.077454	13.901258	1	5	0	695	11.7	-22.99	0.07	-1.2	1.35	0.77	0.262	0.221	G	0.687	0.621	0.589	0.552	F	F	ACS (Krajnovic et al. 2013b)	power-law	F814W	0.41	14	0.64	4.84	-1.17	0.57	0.05	0.09	5.23	regular-rotators	core
